Set,Price_Euro,Pieces,Minifigs
The Samurai Mech,14.61,154,3 (3 unique to this set)
The Golden Dragon,19.49,171,3 (2 unique to this set)
Kai's Blade Cycle & Zane's Snowmobile,29.99,376,4
Jay's Storm Fighter,38.98,490,4
Cole's Earth Driller,49.99,587,4 (1 unique to this set)
Monastery of Spinjitzu,77.97,1070,8 (1 unique to this set)
Lloyd's Journey,14.61,81,2 (1 unique to this set)
Cole's Dirt Bike,19.49,212,3
Shuricopter,29.23,361,3 (2 unique to this set)
Fire Fang,43.86,463,4 (2 unique to this set)
Katana 4X4,48.73,450,5 (2 unique to this set)
Lloyd's Titan Mech,68.23,876,6 (2 unique to this set)
Land Bounty,126.71,1178,9 (2 unique to this set)
Castle of the Forsaken Emperor,97.47,1218,7 (2 unique to this set)
The Ultra Dragon,87.72,951,6
Monastery Training,9.99,122,2
Spinjitzu Slam - Lloyd,9.74,70,1
Spinjitzu Slam - Jay,9.74,72,1
Spinjitzu Slam - Zane,9.99,63,1 (1 unique to this set)
Spinjitzu Slam - Kai vs. Samurai,19.49,164,2
LEGO Movie Maker,49.99,482,6 (5 unique to this set)
Emmet and Benny's 'Build and Fix' Workshop!,19.99,117,2
Unikitty's Sweetest Friends EVER!,9.99,76,3 (3 unique to this set)
Emmet's Thricycle!,14.99,174,1
Introducing Queen Watevra Wa'Nabi,19.99,115,4 (3 unique to this set)
Queen Watevra's Build Whatever Box!,39.99,455,
Rex's Rex-treme Offroader!,29.99,236,2
Ultrakatty & Warrior Lucy!,29.99,348,2
Pop-Up Party Bus,89.99,1024,4 (3 unique to this set)
Emmet and Lucy's Escape Buggy!,49.99,550,4 (2 unique to this set)
Sweet Mayhem's Systar Starship!,69.99,502,3 (1 unique to this set)
Emmet's Dream House/Rescue Rocket!,59.99,706,4 (2 unique to this set)
Emmet's Builder Box!,29.99,125,1
Lucy's Builder Box!,29.99,141,2 (1 unique to this set)
MetalBeard's Heavy Metal Motor Trike!,59.99,461,2 (2 unique to this set)
Rex's Rexplorer!,119.99,1187,2
Battle-Ready Batman and MetalBeard,19.99,168,2 (2 unique to this set)
Shimmer & Shine Sparkle Spa!,69.99,691,8 (8 unique to this set)
Queen Watevra's 'So-Not-Evil' Space Palace,99.99,995,5 (5 unique to this set)
The Rexcelsior!,149.99,1826,4 (4 unique to this set)
Welcome to Apocalypseburg!,299.99,3178,13 (11 unique to this set)
Benny's Space Squad,9.99,68,5 (2 unique to this set)
Emmet's Triple-Decker Couch Mech,29.99,312,3 (1 unique to this set)
Good Morning Sparkle Babies!,9.99,50,4 (4 unique to this set)
Systar Party Crew,19.99,196,2 (1 unique to this set)
Wyld-Mayhem Star Fighter,49.99,405,4 (4 unique to this set)
LEGO Minifigures - The LEGO Movie 2 Series {Random bag},NaN,NaN,
Awesome Remix Emmet,NaN,7,1
Battle-Ready Lucy,NaN,8,1
Apocalypse Benny,NaN,8,1
Giraffe Guy,NaN,6,1
Crayon Girl,NaN,6,1
Sherry Scratchen-Post & Scarfield,NaN,6,1
Hula Lula,NaN,8,1
Watermelon Dude,NaN,6,1
Flashback Lucy,NaN,7,1
Swamp Creature,NaN,6,1
Candy Rapper,NaN,8,1
Gone Golfin' President Business,NaN,6,1
Apocalypseburg Abe,NaN,7,1
Vest Friend Rex,NaN,6,1
Kitty Pop,NaN,7,1
Dorothy Gale & Toto,NaN,7,1
Cowardly Lion,NaN,6,1
Scarecrow,NaN,6,1
Tin Man,NaN,8,1
Unikitty,NaN,15,1
LEGO Minifigures - The LEGO Movie 2 Series - Complete,NaN,144,20
LEGO Minifigures - The LEGO Movie 2 Series - Sealed Box,3.99,NaN,
LEGO Minifigures - Disney Series 2 {Random bag},NaN,NaN,
Vintage Mickey,3.99,6,1
Vintage Minnie,3.99,7,1
Huey Duck,3.99,7,1
Dewey Duck,3.99,7,1
Louie Duck,3.99,8,1
Scrooge McDuck,3.99,8,1
Chip,3.99,6,1
Dale,3.99,5,1
Elsa,3.99,7,1
Anna,3.99,8,1
Jafar,3.99,8,1
Jasmine,3.99,6,1
Hades,3.99,6,1
Hercules,3.99,8,1
Sally,3.99,7,1
Jack Skellington,3.99,10,1
Edna Mode,3.99,8,1
Frozone,3.99,7,1
LEGO Minifigures - Disney Series 2 - Complete,NaN,129,18
LEGO Minifigures - Disney Series 2 - Sealed Box,3.99,NaN,
LEGO Minifigures - Series 19 {Random Bag},NaN,NaN,
Video Game Champ,NaN,7,1
Shower Guy,NaN,8,1
Fright Knight,NaN,9,1
Monkey King,NaN,12,1
Programmer,NaN,10,1
Mummy Queen,NaN,6,1
Jungle Explorer,NaN,8,1
Fire Fighter,NaN,6,1
Dog Sitter,NaN,9,1
Pizza Costume Guy,NaN,6,1
Galactic Bounty Hunter,NaN,8,1
Gardener,NaN,7,1
Rugby Player,NaN,6,1
Fox Costume Girl,NaN,8,1
Bear Costume Guy,NaN,7,1
Mountain Biker,NaN,10,1
LEGO Minifigures - Series 19 - Complete,3.99,127,16
LEGO Minifigures - Series 19 - Sealed Box,NaN,NaN,
Disney Train and Station,329.99,2925,5 (5 unique to this set)
Naboo Starfighter Microfighter,9.99,62,1
Sith Infiltrator Microfighter,9.99,92,1
Elite Praetorian Guard Battle Pack,14.99,109,5 (3 unique to this set)
Inferno Squad Battle Pack,14.99,118,4 (4 unique to this set)
Darth Vader Bust,NaN,327,
Escape Pod vs. Dewback Microfighters,19.99,177,3 (1 unique to this set)
Death Star Escape,29.99,329,4 (2 unique to this set)
Kylo Ren & Sith Trooper,19.99,240,
Droid Gunship,59.99,389,4
AT-AP Walker,68.23,689,5 (1 unique to this set)
X-wing Starfighter Trench Run,29.23,132,3
Duel on Starkiller Base,19.99,191,2 (1 unique to this set)
TIE Fighter Attack,19.99,77,2
Action Battle Endor Assault,29.23,193,2 (1 unique to this set)
Action Battle Hoth Generator Attack,29.23,235,2 (1 unique to this set)
Major Vonreg's TIE Fighter,68.23,496,4 (4 unique to this set)
Action Battle Echo Base Defense,58.48,504,6 (4 unique to this set)
Black Ace TIE Interceptor,48.73,396,3 (2 unique to this set)
Slave I - 20th Anniversary Edition,116.97,1007,5 (3 unique to this set)
Tantive IV,194.95,1768,6 (2 unique to this set)
LEGO Star Wars Advent Calendar,29.99,280,9 (2 unique to this set)
Death Star Cannon,19.49,159,2
Rebel A-wing Starfighter,14.99,62,2
Resistance A-wing Starfighter,29.23,269,2 (2 unique to this set)
Resistance Y-wing Starfighter,69.99,578,5 (3 unique to this set)
Pasaana Speeder Chase,48.73,373,4 (2 unique to this set)
Darth Vader's Castle,129.99,1060,6 (2 unique to this set)
Imperial Star Destroyer,699.99,4784,2 (2 unique to this set)
Droid Commander,194.95,1177,
AT-ST Raider,59.99,540,4 (2 unique to this set)
Yoda,119.99,1771,1
Kylo Ren's Shuttle,119.99,1005,6 (4 unique to this set)
Millennium Falcon,169.99,1351,7 (2 unique to this set)
Anakin's Podracer – 20th Anniversary Edition,29.23,279,3 (2 unique to this set)
Snowspeeder – 20th Anniversary Edition,39.99,309,4 (3 unique to this set)
Clone Scout Walker – 20th Anniversary Edition,29.99,250,5 (3 unique to this set)
Imperial Dropship – 20th Anniversary Edition,19.99,125,5 (2 unique to this set)
Mini Boost Droid Commander,NaN,62,3 (2 unique to this set)
The Upside Down,199.99,2287,8 (8 unique to this set)
Ferrari F40 Competizione,14.99,198,1 (1 unique to this set)
Chevrolet Camaro ZL1 Race Car,14.99,198,1 (1 unique to this set)
McLaren Senna,14.99,219,1 (1 unique to this set)
2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,39.99,478,3 (3 unique to this set)
1967 Mini Cooper S Rally and 2018 MINI John Cooper Works Buggy,48.73,481,4 (4 unique to this set)
1974 Porsche 911 Turbo 3.0,14.99,180,1 (1 unique to this set)
Dilophosaurus on the Loose,24.36,168,3 (2 unique to this set)
Baryonyx Face-Off: The Treasure Hunt,59.99,434,4 (1 unique to this set)
Jurassic Park: T. rex Rampage,249.99,3120,6 (5 unique to this set)
Triceratops Rampage,58.48,447,4 (3 unique to this set)
T. rex vs Dino-Mech Battle,87.72,716,4 (2 unique to this set)
Expecto Patronum,19.49,121,4 (1 unique to this set)
Hungarian Horntail Triwizard Challenge,34.11,265,4 (4 unique to this set)
Hagrid's Hut: Buckbeak's Rescue,59.99,496,6 (3 unique to this set)
Hogwarts Clock Tower,99.99,922,8 (5 unique to this set)
The Knight Bus,39.99,403,3 (2 unique to this set)
Beauxbatons' Carriage: Arrival at Hogwarts,48.73,430,4 (4 unique to this set)
LEGO Harry Potter Advent Calendar,24.99,305,8 (7 unique to this set)
The Rise of Voldemort,19.49,184,6 (6 unique to this set)
Tracer vs. Widowmaker,14.99,129,2 (2 unique to this set)
Hanzo vs. Genji,24.36,197,3 (3 unique to this set)
Dorado Showdown,29.99,419,3 (2 unique to this set)
D.Va & Reinhardt,39.99,455,2 (2 unique to this set)
Bastion,58.48,602,
Watchpoint: Gibraltar,87.72,730,4 (3 unique to this set)
Wrecking Ball,19.49,227,1 (1 unique to this set)
Junkrat & Roadhog,48.73,380,2 (2 unique to this set)
Spider-Man Bike Rescue,24.36,235,3 (2 unique to this set)
Spider-Man's Spider Crawler,38.98,418,4 (3 unique to this set)
Spider Mech vs. Venom,48.73,604,4 (1 unique to this set)
Batman Batsub and the Underwater Clash,24.99,174,3 (3 unique to this set)
Batman Mech vs. Poison Ivy Mech,39.99,375,4 (4 unique to this set)
Mr. Freeze Batcycle Battle,24.36,200,3 (1 unique to this set)
Batmobile: Pursuit of The Joker,29.23,342,2
Batwing and The Riddler Heist,48.73,489,4 (2 unique to this set)
Batcave Clayface Invasion,97.47,1038,6 (3 unique to this set)
Captain America: Outriders Attack,24.36,167,4 (3 unique to this set)
War Machine Buster,34.11,362,4 (2 unique to this set)
Iron Man Hall of Armor,59.99,524,6 (3 unique to this set)
Avengers Ultimate Quinjet,77.97,838,6 (3 unique to this set)
Captain Marvel and The Skrull Attack,29.23,307,3 (1 unique to this set)
Molten Man Battle,29.23,294,3 (2 unique to this set)
Hydro-Man Attack,39.99,471,4 (3 unique to this set)
Stark Jet and the Drone Attack,58.48,504,4 (2 unique to this set)
Avengers Compound Battle,97.47,699,7 (5 unique to this set)
Spider-Man Car Chase,9.99,52,2 (1 unique to this set)
Spider-Man: Doc Ock Diamond Heist,29.99,150,3 (2 unique to this set)
Batman vs. The Riddler Robbery,9.74,59,2
Batman and The Joker Escape,38.98,171,4 (2 unique to this set)
1989 Batmobile,249.99,3306,3 (2 unique to this set)
Avengers Hulk Helicopter Rescue,58.48,482,5 (2 unique to this set)
Sith Trooper Bust,NaN,484,
Captain Marvel and the Asis,NaN,271,2 (1 unique to this set)
The Dark Knight of Gotham City,NaN,427,1
Chinese New Year's Eve Dinner,NaN,615,6 (6 unique to this set)
Dragon Dance,NaN,622,5 (5 unique to this set)
Dragon Boat Race,49.99,643,15 (15 unique to this set)
Koi,NaN,293,
Shark Skin,NaN,31,
Splash Koi Skin,NaN,33,
Ink Koi Skin,NaN,33,
Boost Hub,79.99,1,
Colour & Distance Sensor,13.99,1,
Medium Linear Motor,16.99,1,
Train Motor,13.99,7,
Garmadon,NaN,10,1
Garmadon,NaN,10,1
Wu,NaN,1,1
Wu,NaN,1,1
Kai vs. Wyplash,NaN,13,2
Kai vs. Wyplash,NaN,13,2
Jay Vs. Lasha,NaN,12,2
Jay vs. Lasha,NaN,12,2
Baby Raptor,NaN,33,
Owen with Baby Raptor,NaN,7,1
Batman with Batarang,NaN,7,1
Robin,NaN,7,1
Superman,NaN,8,1
The Flash,NaN,6,1
Joker,NaN,9,1
Batman,NaN,6,1
Show Jump,NaN,34,
Emmet with Tools,NaN,9,1
Rex with Jetpack,NaN,NaN,1 (1 unique to this set)
Emma's Kitty Chico,NaN,22,
Shop with Costumes,NaN,30,
Sweet Baby,NaN,15,1
Bear's Cave,NaN,22,
Andrea's Booth with Waffles,NaN,29,
Robot on paddleboard,NaN,18,1 (1 unique to this set)
Ice Cream Parlour,NaN,38,
Andrea's Stage,NaN,21,
Stephanie's Puppy Dash,NaN,20,
Halloween Store,NaN,15,
Olivia's Bakery,NaN,38,
Jack,NaN,8,1
Possessed Pizza Delivery Man,NaN,6,1 (1 unique to this set)
Parker,NaN,6,1
TLM2 Accessory Set 2019,12.99,48,4 (3 unique to this set)
Oni Battle Pack,12.99,36,3 (3 unique to this set)
Emmet Key Chain,4.86,NaN,
Lucy Key Chain,4.99,NaN,
Emmet's Construction Worker Vest,14.99,NaN,
Batarang,7.79,NaN,
Flail,NaN,NaN,
Emmet Mask,9.99,NaN,
Lucy Hair,4.99,NaN,
Emmet Pod,8.99,27,1
